lon,lat,mag,day,month,year,depth
-177.6399994,-28.61000061,7.253638744,1,1,1976,30
-74.90000153,-13.28999996,5.652426243,5,1,1976,30
159.3300018,51.59999847,6.131110191,6,1,1976,30
167.8699951,-15.76000023,6.307400703,9,1,1976,30
-16.57999992,66.16000366,6.279009342,13,1,1976,30
-177.8899994,-29.20999908,7.786397457,14,1,1976,30
-177.6600037,-28.43000031,7.8751688,14,1,1976,30
-176.8500061,-28.65999985,6.371370792,14,1,1976,30
-176.8200073,-30.37999916,6.12817049,15,1,1976,30
-177.2400055,-30.14999962,5.922417641,15,1,1976,30
149.1199951,44.91999817,7.159652233,21,1,1976,30
119.9000015,-7.480000019,6.732438087,23,1,1976,30
-177.5899963,-28.63999939,6.20549345,24,1,1976,30
-176.4600067,-29.34000015,5.335869312,26,1,1976,30
161.8899994,54.5,5.818246365,3,2,1976,30
-89.09999847,15.31999969,7.473086834,4,2,1976,30
146.3099976,-5.980000019,5.981500149,6,2,1976,30
-64.41999817,-57.40999985,5.835392952,14,2,1976,30
125.7900009,13,6.473936081,15,2,1976,30
-176.7899933,-28.38999939,6.046841145,15,2,1976,30
145.2400055,-3.359999895,5.481479645,22,2,1976,30
-130.4400024,51.47000122,5.971270084,23,2,1976,30
-74.73000336,-40,5.915418625,28,2,1976,30
121.4400024,-8.229999542,5.656220913,3,3,1976,30
167.1000061,-14.73999977,6.894986629,4,3,1976,30
165.0200043,-10.72999954,6.06577158,8,3,1976,30
154.7200012,-6.260000229,6.15763998,13,3,1976,30
-177.8699951,-29.88999939,7.024992943,24,3,1976,30
-85.87999725,3.930000067,6.599710464,29,3,1976,30
152.0899963,-3.869999886,6.351577282,6,4,1976,30
63.77000046,40.31000137,6.64046526,8,4,1976,30
63.81000137,40.16999817,6.100279808,8,4,1976,30
-79.80000305,0.779999971,6.630996704,9,4,1976,30
154.8300018,-6.429999828,5.324239731,10,4,1976,30
139.4700012,-51.90000153,6.030752182,14,4,1976,30
52.13000107,28.70999908,5.642320633,22,4,1976,30
-176.8800049,-28.20000076,6.149521828,29,4,1976,30
167.5700073,-44.63999939,6.533942223,4,5,1976,30
-177.8399963,-29.93000031,7.028309822,5,5,1976,30
13.27000046,46.36000061,6.467602253,6,5,1976,30
139.6799927,-51.50999832,5.899267673,11,5,1976,30
139.6799927,-51.59999847,6.348142624,11,5,1976,30
20.35000038,37.56000137,6.41998291,11,5,1976,30
-74.48000336,-11.64000034,6.744989395,15,5,1976,30
63.47000122,40.38000107,6.69741869,17,5,1976,30
154.0800018,-59.95000076,6.360321045,18,5,1976,30
98.94999695,24.56999969,6.657573223,29,5,1976,30
98.70999908,24.53000069,6.632812023,29,5,1976,30
-75.41000366,-41.63999939,6.086966038,30,5,1976,30
98.63999939,24.34000015,6.074791908,31,5,1976,30
153.4400024,-5.199999809,7.122602463,3,6,1976,30
161.0099945,-10.09000015,6.259972095,5,6,1976,30
124.8300018,14.09000015,6.547791004,7,6,1976,30
-100.6399994,17.39999962,6.42159605,7,6,1976,30
134.7899933,0.540000021,6.448214531,15,6,1976,30
12.85999966,46.15999985,5.167097569,17,6,1976,30
65.41000366,-18.02000046,6.374541759,19,6,1976,30
96.31999969,3.400000095,6.96681881,20,6,1976,30
140.0899963,-4.599999905,7.142831802,25,6,1976,30
126.75,3.660000086,6.479257107,26,6,1976,30
-177.8300018,-33.81999969,6.181941509,29,6,1976,30
-78.47000122,7.340000153,6.748477459,11,7,1976,30
-78.12999725,7.409999847,7.256651402,11,7,1976,30
114.8899994,-8.170000076,6.473936081,14,7,1976,30
152.7599945,-4.159999847,6.563317299,17,7,1976,30
98.69999695,24.78000069,6.131110191,21,7,1976,30
-113.3300018,-21.90999985,5.477313519,26,7,1976,30
118.3099976,4.960000038,6.273696899,26,7,1976,30
117.9800034,39.56999969,7.561653137,27,7,1976,30
118.4000015,39.65999985,6.969255447,28,7,1976,30
170,-20.20000076,6.308195114,28,7,1976,30
72.79000092,39.29000092,5.92000246,28,7,1976,30
45.59999847,43.16999817,6.208866596,28,7,1976,30
-177.9600067,-30.31999969,6.438769817,31,7,1976,30
169.2700043,-20.61000061,6.851051331,2,8,1976,30
97.06999969,26.68000031,5.868364334,12,8,1976,30
104.1600037,32.75,6.673726559,16,8,1976,30
124.0199966,6.260000229,7.958284378,16,8,1976,30
125.8700027,10.06000042,6.018069744,17,8,1976,30
122.9400024,7.25,7.104424,17,8,1976,30
129.5700073,-6.71999979,6.337587357,21,8,1976,30
104.25,32.56999969,6.264619827,21,8,1976,30
104.1800003,32.49000168,6.375171661,23,8,1976,30
13.19999981,46.29999924,5.971523762,15,9,1976,30
149.2299957,44.88000107,5.951566219,22,9,1976,30
124.0699997,6.920000076,5.719618797,29,9,1976,30
-177.8800049,-30.23999977,6.602880955,30,9,1976,30
153,-6.429999828,6.336150646,5,10,1976,30
161.2899933,-10.44999981,5.949109077,12,10,1976,30
139.9199982,-4.519999981,6.816188335,29,10,1976,30
77.66000366,-29.35000038,6.564955711,2,11,1976,30
101.0500031,27.60000038,6.307400703,6,11,1976,30
59.15000153,33.79999924,5.959080219,7,11,1976,30
126.3799973,8.479999542,6.804997444,7,11,1976,30
142.2400055,38.09000015,6.227272511,8,11,1976,30
117.6900024,39.43999863,6.356989384,15,11,1976,30
80.20999908,-41.63999939,6.175741196,16,11,1976,30
156.9400024,-8.819999695,6.412887573,18,11,1976,30
