lon,lat,M,time_string,depth,catalog_id,event_id
-117.470665,35.604168,2.58,2019-07-07T07:43:51.590000,10.43,-1,
-117.672,35.85367,2.55,2019-07-07T08:02:17.280000,4.9,-1,
-117.85183,36.0855,3.68,2019-07-07T08:03:25.590000,0.46,-1,
-117.65833,35.868,2.57,2019-07-07T08:13:36.590000,6.87,-1,
-117.715164,35.88983,2.56,2019-07-07T08:15:49,2.09,-1,
-117.346,35.594833,2.77,2019-07-07T08:18:02.060000,1.51,-1,
-117.48067,35.6705,2.59,2019-07-07T08:28:43.760000,1.42,-1,
-117.716,35.920166,2.57,2019-07-07T08:30:05.310000,2.51,-1,
-117.386665,35.557335,3.16,2019-07-07T08:38:27.410000,-0.83,-1,
-117.5425,35.676666,2.95,2019-07-07T08:39:05.560000,0.4,-1,
-117.720665,35.9175,3.06,2019-07-07T08:54:18.590000,2.37,-1,
-117.494,35.6815,3.22,2019-07-07T08:56:40.130000,1.15,-1,
-117.7295,35.978333,2.6,2019-07-07T09:00:01.850000,1.47,-1,
-117.55133,35.695,2.67,2019-07-07T09:02:11.550000,9.54,-1,
-117.69483,35.871,2.6,2019-07-07T09:06:11.020000,3.76,-1,
-117.520836,35.67317,3.06,2019-07-07T09:09:25.100000,7.0,-1,
-117.7025,35.932835,3.5,2019-07-07T09:10:01.720000,2.36,-1,
-117.5725,35.7595,3.12,2019-07-07T09:10:22.300000,6.25,-1,
-117.707,35.935,2.85,2019-07-07T09:11:35.930000,2.61,-1,
-117.70216,35.930668,3.05,2019-07-07T09:11:59.860000,3.05,-1,
-117.546165,35.746834,3.45,2019-07-07T09:41:23.040000,8.5,-1,
-117.51283,35.670666,2.96,2019-07-07T09:46:49.760000,3.42,-1,
-117.737,35.914665,2.75,2019-07-07T09:52:52.910000,3.04,-1,
-117.496,35.716835,3.33,2019-07-07T10:02:27.530000,3.16,-1,
-117.52417,35.674667,2.86,2019-07-07T10:02:50.510000,7.92,-1,
-117.736,35.911835,3.47,2019-07-07T10:06:13.030000,2.06,-1,
-117.69017,35.852165,2.52,2019-07-07T10:11:31.060000,3.34,-1,
-117.46633,35.659,3.48,2019-07-07T10:21:27.230000,7.83,-1,
-117.461334,35.661835,2.65,2019-07-07T10:22:08.880000,1.72,-1,
-117.562164,35.802,2.79,2019-07-07T10:24:36.460000,3.1,-1,
-117.622665,35.797333,3.38,2019-07-07T10:32:54.690000,6.39,-1,
-117.59116,35.7575,3.15,2019-07-07T10:37:45.690000,2.77,-1,
-117.61,35.635,2.53,2019-07-07T10:43:44.180000,8.93,-1,
-117.71983,35.897,2.53,2019-07-07T10:55:00.040000,4.2,-1,
-117.39833,35.60483,2.83,2019-07-07T11:01:57.210000,3.09,-1,
-117.669334,35.72983,2.73,2019-07-07T11:04:04.400000,20.04,-1,
-117.37434,35.536335,2.86,2019-07-07T11:04:04.810000,4.0,-1,
-117.9345,35.983166,2.57,2019-07-07T11:16:11.520000,3.64,-1,
-117.51183,35.678,2.69,2019-07-07T11:17:30.190000,8.69,-1,
-117.594,35.805668,4.15,2019-07-07T11:22:16.240000,10.06,-1,
-117.73333,35.915833,2.64,2019-07-07T11:29:31.150000,3.0,-1,
-117.35017,35.5675,3.49,2019-07-07T11:33:50.060000,1.21,-1,
-117.709335,35.917,3.22,2019-07-07T11:41:04.160000,1.42,-1,
-117.688835,35.9055,2.73,2019-07-07T11:56:26.230000,1.7,-1,
-117.48817,35.675835,2.66,2019-07-07T12:21:38.240000,0.27,-1,
-117.521835,35.698166,2.68,2019-07-07T12:35:41.230000,9.86,-1,
-117.48133,35.645668,3.25,2019-07-07T12:39:48.530000,3.36,-1,
-117.97583,36.175667,2.8,2019-07-07T12:48:03.220000,4.04,-1,
-117.67333,35.881832,2.54,2019-07-07T13:05:15.410000,1.07,-1,
-117.697334,35.875168,2.72,2019-07-07T13:13:14.070000,3.1,-1,
-117.692,35.896168,3.26,2019-07-07T13:23:52.330000,6.51,-1,
-117.459,35.631832,2.73,2019-07-07T13:25:46.360000,6.13,-1,
-117.5525,35.690666,2.67,2019-07-07T14:14:16.310000,9.45,-1,
-117.4235,35.644665,3.29,2019-07-07T14:21:35,4.2,-1,
-117.58466,35.656666,3.18,2019-07-07T14:28:18.850000,7.83,-1,
-117.52216,35.674,2.76,2019-07-07T14:32:03.310000,9.58,-1,
-117.68767,35.893333,2.6,2019-07-07T14:32:51.480000,11.29,-1,
-117.72833,35.872833,2.63,2019-07-07T14:33:33.560000,6.98,-1,
-117.71167,35.913834,3.6,2019-07-07T14:46:40.520000,1.81,-1,
-117.69517,35.893665,2.9,2019-07-07T14:54:53.620000,4.51,-1,
-117.41617,35.572666,2.92,2019-07-07T15:05:05,7.22,-1,
-117.703,35.914665,2.58,2019-07-07T15:12:01.500000,1.81,-1,
-117.735,35.982,2.55,2019-07-07T15:27:37.870000,1.25,-1,
-117.6695,35.840332,2.62,2019-07-07T15:30:52.530000,4.26,-1,
-117.58083,35.752335,2.57,2019-07-07T15:34:49.790000,3.56,-1,
-117.661835,35.82033,3.45,2019-07-07T15:48:11.760000,3.84,-1,
-117.69883,35.868332,3.3,2019-07-07T15:49:15.090000,3.2,-1,
-117.51683,35.68,2.89,2019-07-07T15:50:49.840000,9.85,-1,
-117.52583,35.6725,3.05,2019-07-07T16:08:00.610000,7.66,-1,
-117.428665,35.635166,2.5,2019-07-07T16:31:44.310000,4.81,-1,
-117.662,35.9035,2.71,2019-07-07T16:40:41.280000,0.11,-1,
-117.57533,35.761833,2.61,2019-07-07T17:00:46.040000,9.61,-1,
-117.693665,35.852833,2.77,2019-07-07T17:33:22.890000,6.06,-1,
-117.471,35.641666,2.87,2019-07-07T17:44:09.420000,5.72,-1,
-117.68166,35.891666,2.8,2019-07-07T17:47:25.130000,8.52,-1,
-117.71667,35.930668,2.99,2019-07-07T18:05:57.730000,1.78,-1,
-117.687,35.874,2.63,2019-07-07T18:07:36.300000,2.52,-1,
-117.73116,35.887665,3.28,2019-07-07T18:19:19.960000,4.5,-1,
-117.711334,35.916332,2.52,2019-07-07T18:27:58.820000,4.27,-1,
-117.84067,36.08217,2.59,2019-07-07T18:40:35.890000,3.69,-1,
-117.4305,35.5955,3.59,2019-07-07T18:50:02.340000,5.63,-1,
-117.472664,35.654167,3.25,2019-07-07T19:00:51.320000,2.95,-1,
-117.633,35.816833,2.59,2019-07-07T19:12:35.660000,2.3,-1,
-117.729,35.915,2.67,2019-07-07T19:24:20.500000,2.84,-1,
-117.706,35.877666,2.68,2019-07-07T19:24:54.550000,5.07,-1,
-117.665665,35.831833,2.58,2019-07-07T19:28:09.990000,3.95,-1,
-117.526,35.655,3.19,2019-07-07T19:37:10.220000,9.76,-1,
-117.70216,35.9375,2.97,2019-07-07T19:48:36.840000,1.48,-1,
-117.4975,35.668667,2.77,2019-07-07T19:51:30.620000,10.44,-1,
-117.62783,35.795,2.55,2019-07-07T20:09:08.130000,2.69,-1,
-117.702,35.903168,2.52,2019-07-07T20:14:01.250000,1.8,-1,
-117.46716,35.63933,2.65,2019-07-07T20:30:36.090000,2.55,-1,
-117.37984,35.5905,2.68,2019-07-07T20:46:12.220000,4.13,-1,
-117.59783,35.815,3.25,2019-07-07T20:46:41.240000,7.54,-1,
-117.601166,35.775333,3.45,2019-07-07T21:02:51.730000,7.87,-1,
-117.69183,35.947834,3.79,2019-07-07T21:15:29.560000,1.42,-1,
-117.691,35.939,2.74,2019-07-07T21:20:51.450000,2.38,-1,
-117.7255,35.948,2.52,2019-07-07T21:41:11.230000,1.61,-1,
-117.6875,35.857166,2.72,2019-07-07T21:41:24.710000,9.51,-1,
-117.6915,35.941666,2.83,2019-07-07T22:00:51.020000,1.87,-1,
-117.453,35.650166,2.79,2019-07-07T22:07:48.580000,2.87,-1,
-117.5185,35.5725,2.8,2019-07-07T22:23:08.550000,9.75,-1,
-117.679665,35.9285,2.76,2019-07-07T22:27:34.470000,1.6,-1,
-117.531,35.683834,3.26,2019-07-07T22:33:21.380000,1.15,-1,
-117.65833,35.821167,2.8,2019-07-07T22:35:23.510000,5.89,-1,
-117.46,35.606834,2.5,2019-07-07T22:42:47.350000,2.05,-1,
-117.55334,35.6415,3.38,2019-07-07T22:52:52.870000,7.12,-1,
-117.40967,35.545834,2.98,2019-07-07T23:02:24.450000,2.31,-1,
-117.70983,35.8705,2.73,2019-07-07T23:21:35.660000,6.95,-1,
-117.541,35.684834,2.52,2019-07-07T23:33:28.360000,9.65,-1,
-117.67133,35.8285,3.93,2019-07-07T23:36:56.970000,4.0,-1,
-117.3845,35.55633,3.41,2019-07-07T23:44:57.600000,7.8,-1,
-117.4895,35.6735,3.2,2019-07-07T23:45:25.600000,2.61,-1,
-117.66483,35.830166,3.01,2019-07-08T00:13:25.840000,4.28,-1,
-117.369,35.5765,2.76,2019-07-08T00:29:31.480000,0.17,-1,
-117.882835,36.1125,3.76,2019-07-08T01:36:58.200000,1.93,-1,
-117.874664,36.108,2.78,2019-07-08T01:38:21.110000,5.18,-1,
-117.72967,35.888332,2.54,2019-07-08T01:57:20.300000,2.31,-1,
-117.5435,35.731335,2.81,2019-07-08T02:24:15.680000,6.89,-1,
-117.49617,35.670166,2.64,2019-07-08T02:42:29.080000,6.91,-1,
-117.7305,35.8875,2.68,2019-07-08T02:46:22.330000,3.45,-1,
-117.503334,35.665,3.11,2019-07-08T03:12:26.650000,7.29,-1,
-117.842834,35.3745,2.67,2019-07-08T03:15:15.010000,3.01,-1,
-117.528336,35.71583,2.5,2019-07-08T03:37:02.590000,1.84,-1,
-117.6995,35.900166,2.58,2019-07-08T03:51:36.220000,2.09,-1,
-117.527,35.65917,2.58,2019-07-08T03:52:01.810000,1.32,-1,
-117.87867,36.113,2.73,2019-07-08T03:54:14.460000,5.31,-1,
-117.3875,35.607834,3.01,2019-07-08T04:03:07.860000,2.33,-1,
-117.88316,36.11767,2.69,2019-07-08T04:29:09.650000,5.65,-1,
-117.86417,36.12583,2.82,2019-07-08T04:39:49.310000,3.77,-1,
-117.84683,36.020832,2.56,2019-07-08T04:43:16.140000,1.89,-1,
-117.42267,35.6445,2.83,2019-07-08T04:49:48.160000,5.02,-1,
-117.88583,36.117832,2.5,2019-07-08T04:53:58.400000,-0.07,-1,
-117.28467,35.958668,2.82,2019-07-08T04:59:54.530000,5.03,-1,
-117.72283,35.8715,3.13,2019-07-08T05:02:10.470000,6.27,-1,
-117.73,35.892166,2.51,2019-07-08T05:13:38.180000,1.85,-1,
-117.54733,35.676334,3.09,2019-07-08T05:15:02.760000,3.95,-1,
-117.73867,35.914,2.68,2019-07-08T05:18:54.440000,2.64,-1,
-117.722336,35.949665,3.19,2019-07-08T05:24:16.760000,2.05,-1,
-117.72083,35.8715,2.72,2019-07-08T05:43:10.600000,0.13,-1,
-117.713165,35.872,3.55,2019-07-08T05:54:05.190000,7.88,-1,
-117.875,36.166,2.51,2019-07-08T06:10:21.030000,2.68,-1,
-117.275665,35.961334,3.04,2019-07-08T06:18:08.290000,0.41,-1,
-117.5675,35.729,3.15,2019-07-08T06:45:16.620000,6.24,-1,
-117.72633,35.893,2.67,2019-07-08T06:47:20.570000,2.38,-1,
-117.3785,35.545834,3.4,2019-07-08T07:18:34.640000,2.02,-1,
-117.48983,35.683334,2.59,2019-07-08T07:28:32.090000,8.4,-1,
-117.8755,36.158,3.54,2019-07-08T07:31:58.410000,2.62,-1,
-117.4445,35.638,2.59,2019-07-08T07:42:20.920000,6.42,-1,
-117.8515,36.0525,2.78,2019-07-08T07:52:28.120000,1.51,-1,
-117.55167,35.690834,2.89,2019-07-08T08:07:38.290000,0.27,-1,
-117.4055,35.5655,2.5,2019-07-08T08:12:33.340000,3.21,-1,
-117.85533,36.126335,2.62,2019-07-08T08:18:08.640000,4.68,-1,
-117.85983,36.119167,3.9,2019-07-08T08:20:02.420000,2.88,-1,
-117.349,35.534832,2.73,2019-07-08T09:00:20.790000,2.0,-1,
-117.569664,35.764168,2.71,2019-07-08T09:17:28.080000,6.71,-1,
-117.478,35.6835,2.68,2019-07-08T09:37:07.270000,2.35,-1,
-117.464165,35.650665,3.5,2019-07-08T09:57:11.030000,8.76,-1,
-117.39333,35.567,2.52,2019-07-08T10:07:15.700000,4.84,-1,
-117.85267,36.118,2.71,2019-07-08T10:11:22.900000,4.92,-1,
-117.731,35.901333,2.8,2019-07-08T10:44:12.710000,5.26,-1,
-117.708336,35.906666,3.21,2019-07-08T11:23:22.660000,4.59,-1,
-117.847336,36.030834,2.89,2019-07-08T11:25:48.210000,1.93,-1,
-117.71983,35.943,2.95,2019-07-08T11:34:56.010000,1.88,-1,
-117.73417,35.898335,2.78,2019-07-08T11:45:02.810000,2.58,-1,
-117.436165,35.6225,2.61,2019-07-08T12:07:38.790000,8.07,-1,
-117.436,35.62467,3.55,2019-07-08T12:14:57.880000,7.14,-1,
-117.523834,35.671165,3.26,2019-07-08T12:21:28.520000,8.98,-1,
-117.86183,36.058666,2.65,2019-07-08T12:38:36.170000,-0.26,-1,
-117.568665,35.715668,3.07,2019-07-08T12:42:38.190000,6.1,-1,
-117.8455,36.027668,2.62,2019-07-08T12:59:28.640000,1.98,-1,
-117.68567,35.9285,2.64,2019-07-08T13:03:48.910000,2.7,-1,
-117.90483,36.0385,2.92,2019-07-08T13:25:35.630000,27.72,-1,
-117.34883,36.042,2.71,2019-07-08T13:29:06.580000,7.62,-1,
-117.37683,35.550667,2.67,2019-07-08T13:39:06.960000,2.75,-1,
-117.394,35.559,3.02,2019-07-08T13:58:19.250000,2.06,-1,
-117.374,35.584667,2.85,2019-07-08T14:09:19.620000,2.69,-1,
-117.6045,35.774166,2.61,2019-07-08T14:27:20.220000,8.72,-1,
-117.48617,35.659,3.18,2019-07-08T14:31:01.360000,3.71,-1,
-117.35367,36.038166,2.61,2019-07-08T14:52:54.750000,4.1,-1,
-117.736664,35.911835,2.6,2019-07-08T15:35:47.970000,2.31,-1,
-117.51217,35.679,3.83,2019-07-08T16:04:28.110000,1.91,-1,
-117.43117,35.6205,3.33,2019-07-08T16:09:57.620000,2.31,-1,
-117.68567,35.874332,2.66,2019-07-08T16:11:32.540000,8.43,-1,
-117.69867,35.935333,2.54,2019-07-08T16:15:12.040000,2.23,-1,
-117.727165,35.891666,2.88,2019-07-08T16:22:36.680000,4.11,-1,
-117.72467,35.891834,2.95,2019-07-08T16:22:53.220000,3.64,-1,
-117.56467,35.74383,3.04,2019-07-08T16:31:08.800000,7.04,-1,
-117.682335,35.868332,2.78,2019-07-08T16:45:26.190000,3.03,-1,
-117.50117,35.670334,2.54,2019-07-08T16:55:10.250000,1.46,-1,
-117.544334,35.698666,2.55,2019-07-08T17:02:33.940000,1.97,-1,
-117.45983,35.65867,2.55,2019-07-08T17:05:03.360000,2.14,-1,
-117.7305,35.895832,2.54,2019-07-08T17:30:03.560000,2.67,-1,
-117.85934,36.127167,2.73,2019-07-08T17:48:02.600000,3.82,-1,
