time,probability
1,0.0497290395030636
2,0.0469182619072231
3,0.0455479811603334
4,0.0438670321104253
5,0.0419669005994204
6,0.038252934640395
7,0.0354777106128441
8,0.0346277605837206
9,0.033236264856992
10,0.0322522973014134
11,0.0325753875153033
12,0.0327303308901341
13,0.0314021818114926
14,0.0308192875547475
15,0.0399416488752159
16,0.0364759875609378
17,0.0479833875296339
18,0.0457100888237111
19,0.0464544590317952
20,0.0485907735019085
21,0.0471247009094682
22,0.0429409118775087
23,0.0454999871445596
24,0.0454499922074226
25,0.0387562649510891
26,0.035123798380142
27,0.0393119869377646
28,0.0375824467393914
29,0.0385907661067921
30,0.0351020353418673
31,0.0328698955625135
32,0.0312333765398327
33,0.0296337821750837
34,0.0289042896768853
35,0.0299765725673852
36,0.0298746717866057
37,0.0296798069697799
38,0.0288327144404246
39,0.0287743382669432
40,0.0290545627298708
41,0.0301449749614495
42,0.0313821863379063
43,0.0308254236732169
44,0.0317047627548018
45,0.033126886125579
46,0.0359547515843711
47,0.0362125236661033
48,0.0370693955652974
49,0.03505150417394
50,0.0382683388450576
51,0.0387926612038371
52,0.0365085703479976
53,0.03643639112398
54,0.0371034505770034
55,0.036197191093991
56,0.0368795333450239
57,0.0362422307373279
58,0.0345344340548646
59,0.0346308550364046
60,0.0361999451496169
61,0.0391146342035336
62,0.0359096709714913
63,0.0341625360153212
64,0.0349490231474842
65,0.0348377282725315
66,0.0327187648327346
67,0.0335050156568267
68,0.0359519640639419
69,0.0375322093280014
70,0.0346062535911514
71,0.0339664816716841
72,0.0349132983374147
73,0.0430106734628967
74,0.0396096899933833
75,0.035622207934067
76,0.0342930905361577
77,0.03361912299917
78,0.0340184443157434
79,0.0353301711108971
80,0.0356919585653991
81,0.0338732840916194
82,0.0489846957745831
83,0.0433462781393559
84,0.0582639405342307
85,0.0551840127409244
86,0.0520124757843827
87,0.0484850942636509
88,0.0440839646612881
89,0.0431318916887383
90,0.0443451253052516
91,0.0514120022149966
92,0.04650777928204
93,0.0452633189880588
94,0.0449822388845924
95,0.0541527741972445
96,0.0468010701998691
97,0.0503080552899446
98,0.052459906091711
99,0.0659791935677974
100,0.0594659891101764
101,0.0671557713683447
102,0.0555194427134629
103,0.0533423922547993
104,0.0466511479306659
105,0.0438562038009679
106,0.0444964233338525
107,0.0448019021512434
108,0.0480998957850234
109,0.0479489903974041
110,0.0554081071929627
111,0.0751710159164463
112,0.0777854646411501
113,0.0762619632928004
114,0.0830913446636631
115,0.0716989146491338
116,0.0698077019075143
117,0.0633150701840667
118,0.0801334002629869
119,0.0731028554856743
120,0.0708305918985648
121,0.0741314728547199
122,0.0618966612265663
123,0.0941593606104105
124,0.0758225120344157
125,0.063991474909097
126,0.0634736588686213
127,0.0650919499536931
128,0.0643811808359558
129,0.0600370652136484
130,0.0521887008059548
131,0.0441907350455131
132,0.0408432988966061
133,0.0388199383846389
134,0.0394898647898912
135,0.0380168303871772
136,0.0398356753141457
137,0.0387163114621856
138,0.0367292731167178
139,0.0356977443980026
140,0.0337778199249257
141,0.0335325713823524
142,0.0336225273499822
143,0.0325659924168817
144,0.0326365377699195
145,0.0369218107421716
146,0.0340754448209264
147,0.0359185822056545
148,0.0374750511403664
149,0.0377956683520623
150,0.0483639156037093
151,0.0458308974407684
152,0.0391276351058906
153,0.0369236072874679
154,0.0370412718988775
155,0.0382282448117127
156,0.0402876766926222
157,0.0389237253582913
158,0.0379648760576937
159,0.0358404350767684
160,0.0362111329413909
161,0.0416586294098037
162,0.0559177274054428
163,0.0612477576433497
164,0.056615338248852
165,0.0437781269549761
166,0.0398534938698702
167,0.0359073404744366
168,0.0386126891248881
169,0.0381028076974756
170,0.0382250431084359
171,0.0364083853224278
172,0.0379699898470555
173,0.0401523299956452
174,0.0434854231130413
175,0.0493660060014045
176,0.0522518973640461
177,0.0469352866759571
178,0.0427164775738695
179,0.04200562608259
180,0.0443377919459167
181,0.0489181908295959
182,0.0600959819092651
183,0.0597301685933732
184,0.056068010672619
185,0.0584149313278504
186,0.0562316302212084
187,0.0558715129062247
188,0.0572437279280911
189,0.0556380127289302
190,0.0591754285432908
191,0.0614260929350048
192,0.0630391337091432
193,0.0658876424473679
194,0.0628887086947258
195,0.108031205286164
196,0.132592987099128
197,0.166583819816257
198,0.445965755469417
199,0.439717742108321
200,0.45147650252515
201,0.533583177358293
202,0.516770169941434
203,0.656716021880146
204,0.60926534766651
205,0.473333102053962
206,0.335745761114628
207,0.234298230621156
208,0.201510723216733
209,0.15001013875762
210,0.207450968082572
211,0.212610576331544
212,0.174317001584316
213,0.191383112111054
214,0.147630081614828
215,0.13877668331148
216,0.1339222692564
217,0.191942965343412
218,0.223795899284502
219,0.299502269180113
220,0.287950328227842
