time,probability
1,0.0232320904554937
2,0.0217545235181585
3,0.0227916903364394
4,0.0159026732670846
5,0.0138842293766878
6,0.0130250318399809
7,0.0126291910784155
8,0.0126229928142593
9,0.0124412176781027
10,0.0122408452738406
11,0.0125314654363305
12,0.0116615747037449
13,0.0117015875596522
14,0.011406538440518
15,0.0184028672626982
16,0.0181994969593769
17,0.0150390498116483
18,0.0174387692090122
19,0.0171057857821055
20,0.0175791143215863
21,0.0173883946217496
22,0.0168587380601149
23,0.0168847554836887
24,0.0175264440221514
25,0.0163878058655648
26,0.0130964860440882
27,0.0108988866694504
28,0.0107346126908066
29,0.0103325035273038
30,0.0104098668845214
31,0.010900305414561
32,0.0107809809932031
33,0.0107602504141256
34,0.0106663865647719
35,0.0105322356167748
36,0.0104450887746374
37,0.0104205301275346
38,0.010240878707126
39,0.0101092284177234
40,0.0102127649506522
41,0.0103036360191568
42,0.0104347189651887
43,0.0104273655626159
44,0.0105869007390168
45,0.010887062785681
46,0.0110843487522244
47,0.0105997831639316
48,0.0104024463819634
49,0.0108473484049273
50,0.0108836847622415
51,0.0106154863441864
52,0.0108451590951574
53,0.0118316175781803
54,0.0112383105725673
55,0.0119510845460608
56,0.011610794669796
57,0.0116044964938833
58,0.0117162993019158
59,0.0117162993019158
60,0.0123372526992674
61,0.0113834531290579
62,0.0122186088740924
63,0.0120661363175213
64,0.0116021606611024
65,0.0116647838817166
66,0.0115397134674498
67,0.0113503222496499
68,0.010837415081697
69,0.0100887572113726
70,0.0111992843509031
71,0.0109693522121584
72,0.0113740856091858
73,0.017880463438746
74,0.0180143014060591
75,0.0152344982340716
76,0.0121276179274054
77,0.0119149346152
78,0.0119659686326324
79,0.0120543221049833
80,0.0116349330078427
81,0.0117455572470982
82,0.018159684206293
83,0.0193377842432321
84,0.015018499350373
85,0.0168767783838498
86,0.0191820593190046
87,0.0187755180641527
88,0.0190185869788773
89,0.0208318476749157
90,0.0267242641893937
91,0.0221300571558688
92,0.027599656538928
93,0.0262375249633087
94,0.0306277680390899
95,0.0314700734057827
96,0.0319276800933681
97,0.0322648860127052
98,0.0331163860333096
99,0.0257822585770453
100,0.0312725750596318
101,0.0264115900830209
102,0.0344880292442826
103,0.0335613733418368
104,0.0288126648795115
105,0.0227946796907066
106,0.0228350109340025
107,0.0216381918537479
108,0.0225238576347634
109,0.0227495994907621
110,0.0345150815797112
111,0.0266479450894446
112,0.0257371754972358
113,0.0270235128396749
114,0.0280001976272463
115,0.0258304567499943
116,0.028120554642449
117,0.0314717745277839
118,0.0335062744621088
119,0.0324456701348197
120,0.032204241149378
121,0.0277297928081228
122,0.0318335328684177
123,0.0282782362578765
124,0.0270218691319043
125,0.0319907218599627
126,0.031700898714542
127,0.0331600577943819
128,0.0321693769169626
129,0.0290216128837686
130,0.0230884239838864
131,0.0227181345827041
132,0.0224330083531754
