"ev_id","date","time_orig","time_orig_decimals","lat_orig","long_orig","depth","Mb","Ms","region","source_type","bwave_n_stations","bwave_n_inv","bwave_cutoff","mwave_n_stations","mwave_n_inv","mwave_cutoff","swave_n_stations","swave_n_inv","swave_cutoff","dcouple","centroid_time","delta_centroid_time","centroid_lat","delta_centroid_lat","centroid_long","delta_centroid_long","centroid_depth","delta_centroid_depth","prof","half_dur","inv_date_string","exp","mrr","delta_mrr","mss","delta_mss","mee","delta_mee","mrs","delta_mrs","mre","delta_mre","mse","delta_mse","eigen_t","plunge_t","strike_t","eigen_n","plunge_n","strike_n","eigen_p","plunge_p","strike_p","scalar_moment","strike1","dip1","rake1","strike2","dip2","rake2","Mw","status_flag","quality_flag"
"S201002112156A","2010-02-11","21:56:30","7","33.98","25.42","10.00","5.3","0.0","EASTERN MEDITERRANEAN SE","ING","0","0","0","0","0","0","13","27","40","1","2.9","1.0","34.06","0.05","25.25","0.03","13.600","1.000","0","1.3","D-S201002112156A","24","1.780","0.120","-1.750","0.080","-0.040","0.060","1.240","0.170","-0.040","0.140","0.560","0.040","2.180","72","349","0.090","7","102","-2.280","17","194","2.230","296","29","105","98","62","82","5.5","D","A"
"S201002192108A","2010-02-19","21:08:57","0","56.90","7.59","10.00","4.6","0.0","NORTH SEA","ING","0","0","0","0","0","0","7","9","30","1","4.9","0.5","56.83","0.03","7.51","0.07","33.400","3.400","0","1.0","D-S201002192108A","22","-1.010","0.570","-0.110","0.540","1.120","0.440","0.850","0.230","0.750","0.200","-1.310","0.120","1.970","4","239","0.130","44","333","-2.100","46","145","2.030","293","56","-146","183","63","-39","4.1","D","A"
"C201003080232A","2010-03-08","02:32:33","5","38.82","40.05","2.00","5.9","0.0","TURKEY","ING","0","0","0","7","9","40","26","66","40","1","6.1","0.3","38.95","0.01","40.00","0.02","14.700","1.000","0","2.7","D-C201003080232A","25","0.100","0.030","-1.560","0.030","1.460","0.030","0.540","0.080","0.360","0.060","0.150","0.020","1.570","15","275","0.150","67","46","-1.720","16","181","1.650","318","67","-179","228","89","-23","6.1","D","A"
"C201003080747A","2010-03-08","07:47:42","2","38.82","40.22","10.00","5.6","0.0","TURKEY","ING","0","0","0","5","5","40","25","46","40","1","2.1","0.3","38.77","0.01","40.00","0.02","17.000","0.900","0","1.4","D-C201003080747A","24","-0.010","0.080","-2.760","0.070","2.770","0.070","1.200","0.200","-0.080","0.140","0.530","0.050","2.820","1","276","0.440","70","7","-3.260","20","185","3.040","322","75","-166","229","76","-15","5.6","D","A"
"S201003101338A","2010-03-10","13:38:04","3","42.76","20.66","2.00","5.0","0.0","NORTHWESTERN BALKAN REGI","EMS","0","0","0","0","0","0","18","25","35","1","4.0","0.4","42.58","0.04","20.53","0.03","29.600","1.300","0","1.3","D-S201003101338A","23","-0.350","0.260","-0.940","0.240","1.290","0.210","-0.770","0.130","-0.300","0.150","2.350","0.150","2.910","12","123","-0.370","72","254","-2.540","13","31","2.730","167","72","-179","77","89","-18","4.9","D","A"
"S201004020737A","2010-04-02","07:37:17","5","40.51","35.03","2.00","4.5","0.0","TURKEY","ING","0","0","0","0","0","0","16","19","35","1","3.0","0.2","40.60","0.04","35.07","0.02","19.100","1.500","0","1.0","D-S201004020737A","22","-2.010","0.660","-2.560","0.510","4.570","0.350","1.110","0.650","0.320","0.770","-5.460","0.470","7.530","2","61","-1.690","74","326","-5.850","16","152","6.690","195","77","-11","288","80","-167","4.5","D","A"
"S201004022004A","2010-04-02","20:04:47","0","37.76","15.11","2.00","4.2","0.0","SICILY ITALY","ING","0","0","0","0","0","0","13","14","30","1","0.5","0.6","37.73","0.03","15.12","0.03","10.000","0.000","0","1.0","D-S201004022004A","22","0.560","0.140","-0.120","0.120","-0.450","0.160","-0.010","0.380","-1.340","0.530","2.060","0.110","2.320","30","130","0.340","54","347","-2.660","18","231","2.490","274","55","10","178","82","145","4.2","D","A"
"S201004100838A","2010-04-10","08:38:08","1","35.99","6.23","15.00","4.6","0.0","NORTHERN ALGERIA","ING","0","0","0","0","0","0","15","16","35","1","-0.4","1.0","35.78","0.06","6.23","0.09","12.000","0.000","0","1.0","D-S201004100838A","22","-0.780","0.340","-1.120","0.340","1.900","0.280","-3.220","1.190","0.150","1.270","-3.000","0.230","4.510","22","230","0.370","46","114","-4.880","35","337","4.690","9","47","-11","106","82","-137","4.4","D","A"
"S201004150147A","2010-04-15","01:47:37","2","43.49","12.44","2.00","4.0","0.0","CENTRAL ITALY","ING","0","0","0","0","0","0","12","15","30","1","0.8","0.4","43.56","0.04","12.44","0.04","10.000","0.000","0","1.0","D-S201004150147A","22","-1.030","0.070","0.560","0.070","0.480","0.060","1.280","0.300","-0.230","0.210","-0.410","0.060","1.490","26","28","0.260","12","292","-1.740","61","180","1.610","144","21","-57","288","72","-102","4.1","D","A"
"C201004241501A","2010-04-24","15:01:11","3","34.20","26.04","30.00","5.2","0.0","CRETE GREECE","ING","0","0","0","2","2","40","11","23","35","1","-0.4","0.9","34.12","0.05","25.97","0.02","26.100","1.000","0","1.5","D-C201004241501A","24","1.380","0.130","-1.930","0.080","0.540","0.070","0.830","0.110","0.020","0.080","-0.130","0.050","1.570","77","3","0.550","1","268","-2.130","13","177","1.850","265","32","87","88","58","92","5.4","D","A"
