"ev_id","date","time_orig","time_orig_decimals","lat_orig","long_orig","depth","Mb","Ms","region","source_type","bwave_n_stations","bwave_n_inv","bwave_cutoff","mwave_n_stations","mwave_n_inv","mwave_cutoff","swave_n_stations","swave_n_inv","swave_cutoff","dcouple","centroid_time","delta_centroid_time","centroid_lat","delta_centroid_lat","centroid_long","delta_centroid_long","centroid_depth","delta_centroid_depth","prof","half_dur","inv_date_string","exp","mrr","delta_mrr","mss","delta_mss","mee","delta_mee","mrs","delta_mrs","mre","delta_mre","mse","delta_mse","eigen_t","plunge_t","strike_t","eigen_n","plunge_n","strike_n","eigen_p","plunge_p","strike_p","scalar_moment","strike1","dip1","rake1","strike2","dip2","rake2","Mw","status_flag","quality_flag"
"S201106272114A","2011-06-27","21:14:00","0","39.15","29.07","15.00","4.8","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","9","13","35","1","0.6","0.5","39.16","0.03","29.01","0.06","11.900","2.000","FREE","1.1","D-S201106272114A","23","-2.250","0.350","1.920","0.230","0.330","0.190","0.270","0.480","-0.890","0.600","-1.130","0.150","2.600","8","29","-0.070","16","122","-2.530","72","274","2.560","101","40","-115","313","55","-70","4.9","D","A"
"S201106291948A","2011-06-29","19:48:00","0","37.36","35.90","5.00","4.5","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","6","10","35","1","3.6","0.6","37.41","0.02","35.87","0.07","20.600","1.700","FREE","1.0","D-S201106291948A","22","4.710","0.840","-5.590","0.520","0.880","0.470","-0.970","0.530","0.720","0.720","1.610","0.340","4.890","80","246","1.200","7","104","-6.080","6","14","5.480","95","40","78","290","51","100","4.4","D","A"
"S201107021443A","2011-07-02","14:43:00","0","41.96","7.58","40.00","4.0","0.0","WESTERN-MEDITERRANEAN-SE-","ING","0","0","0","0","0","0","12","13","30","1","7.4","0.9","41.96","0.00","7.58","0.00","45.000","3.700","FREE","1.0","D-S201107021443A","22","-1.770","0.540","2.540","0.900","-0.780","0.750","-0.010","0.190","-1.370","0.130","-1.300","0.370","3.030","6","21","-0.190","38","115","-2.840","51","284","2.940","77","52","-142","321","61","-45","4.3","D","A"
"S201107022130A","2011-07-02","21:30:46","0","36.49","26.69","120.00","4.8","0.0","DODECANESE-ISLANDS-GREE-","ING","0","0","0","0","0","0","21","33","35","1","-0.3","0.4","36.30","0.02","26.66","0.02","133.400","3.500","FREE","1.1","D-S201107022130A","23","0.000","0.040","-0.500","0.050","0.490","0.050","0.580","0.030","0.530","0.030","0.870","0.070","1.410","28","303","-0.330","56","88","-1.080","16","204","1.240","341","58","171","76","82","33","4.7","D","A"
"S201107060908A","2011-07-06","09:08:38","0","38.01","14.80","7.50","3.7","0.0","SICILY-ITALY------------","ING","0","0","0","0","0","0","9","11","35","1","2.4","0.9","38.01","0.00","14.80","0.00","10.000","0.000","FIX ","1.0","D-S201107060908A","22","-1.300","0.110","1.350","0.100","-0.050","0.130","0.290","0.540","0.750","0.310","-0.080","0.090","1.380","6","360","0.300","25","267","-1.680","64","103","1.530","115","44","-53","249","56","-120","4.1","D","A"
"C201107071921A","2011-07-07","19:21:48","0","42.06","7.60","10.00","5.3","0.0","WESTERN-MEDITERRANEAN-SE-","ING","0","0","0","2","2","40","36","66","40","1","3.4","0.3","41.97","0.02","7.66","0.02","13.800","0.600","FREE","1.7","D-C201107071921A","23","5.970","0.230","-2.580","0.130","-3.380","0.140","-0.630","0.280","-1.060","0.300","-2.960","0.080","6.100","84","111","0.000","2","221","-6.090","6","311","6.090","43","39","93","219","51","87","5.1","D","A"
"S201107111609A","2011-07-11","16:09:12","0","40.25","29.95","5.00","4.7","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","18","21","35","1","2.6","0.3","40.23","0.02","30.16","0.06","10.000","0.000","FIX ","1.1","D-S201107111609A","22","-6.130","0.280","6.010","0.240","0.120","0.270","3.520","1.200","-0.330","1.810","2.250","0.270","7.550","14","344","-0.350","11","76","-7.190","72","205","7.370","59","33","-111","263","59","-77","4.5","D","A"
"S201107120653A","2011-07-12","06:53:22","0","43.92","11.86","7.80","4.0","0.0","CENTRAL-ITALY------------","ING","0","0","0","0","0","0","19","26","30","1","2.8","0.3","43.92","0.00","11.86","0.00","10.000","0.000","FIX ","1.0","D-S201107120653A","22","-3.040","0.140","2.380","0.110","0.660","0.160","0.790","0.310","-1.480","0.410","-1.070","0.120","3.200","13","30","0.390","13","123","-3.590","71","258","3.390","103","34","-114","311","59","-74","4.3","D","A"
"S201107120715A","2011-07-12","07:15:00","0","43.92","11.85","7.40","3.9","0.0","CENTRAL-ITALY------------","ING","0","0","0","0","0","0","16","22","35","1","2.9","0.3","43.92","0.00","11.85","0.00","10.000","0.000","FIX ","1.0","D-S201107120715A","22","-2.470","0.110","1.960","0.090","0.510","0.120","0.480","0.250","-0.640","0.310","-0.980","0.090","2.560","8","28","0.060","7","119","-2.620","79","250","2.590","109","37","-102","304","54","-81","4.2","D","A"
"S201107121920A","2011-07-12","19:20:57","0","43.93","11.86","15.00","3.6","0.0","CENTRAL-ITALY------------","ING","0","0","0","0","0","0","14","16","30","1","3.6","0.4","43.93","0.00","11.86","0.00","10.000","0.000","FIX ","1.0","D-S201107121920A","22","-1.110","0.060","0.680","0.050","0.430","0.060","0.690","0.160","-0.390","0.160","-0.330","0.060","1.180","19","33","0.210","2","302","-1.380","71","207","1.280","126","26","-86","301","64","-92","4.0","D","A"
"S201107130955A","2011-07-13","09:55:12","0","42.44","12.72","15.00","3.6","0.0","CENTRAL-ITALY------------","ING","0","0","0","0","0","0","4","5","30","1","5.0","0.6","42.44","0.00","12.72","0.00","10.000","0.000","FIX ","1.0","D-S201107130955A","22","-0.060","0.110","-0.490","0.150","0.550","0.110","-0.740","0.280","0.130","0.210","-0.580","0.060","1.010","26","236","0.130","47","115","-1.140","32","344","1.070","18","47","-5","111","86","-137","4.0","D","A"
"S201107171830A","2011-07-17","18:30:23","0","45.01","11.41","8.10","4.7","0.0","NORTHERN-ITALY-----------","ING","0","0","0","0","0","0","30","49","35","1","7.6","0.2","45.11","0.01","11.47","0.03","10.000","0.000","FIX ","1.1","D-S201107171830A","23","1.310","0.040","-1.500","0.030","0.190","0.040","-1.450","0.150","0.860","0.180","-0.070","0.040","2.250","60","228","-0.100","17","106","-2.150","24","8","2.200","66","26","47","292","71","108","4.8","D","A"
"C201107190713A","2011-07-19","07:13:17","0","37.42","20.22","10.00","5.0","0.0","IONIAN-SEA---------------","ING","0","0","0","2","2","40","33","58","35","1","3.8","0.3","37.28","0.02","20.06","0.02","16.700","0.800","FREE","1.3","D-C201107190713A","23","4.770","0.230","-1.780","0.130","-2.990","0.150","3.070","0.370","-3.240","0.340","2.280","0.090","6.550","68","42","-0.050","3","140","-6.500","22","231","6.520","326","24","97","138","67","87","5.2","D","A"
"S201107251231A","2011-07-25","12:31:20","0","44.98","7.28","25.10","4.3","0.0","NORTHERN-ITALY-----------","ING","0","0","0","0","0","0","11","14","30","1","5.5","0.7","44.98","0.00","7.28","0.00","26.000","1.600","FREE","1.0","D-S201107251231A","23","-1.070","0.310","0.950","0.180","0.120","0.180","-0.620","0.150","-0.750","0.190","0.410","0.130","1.430","20","151","0.070","14","56","-1.490","66","294","1.460","264","28","-60","50","66","-105","4.7","D","A"
"S201107251757A","2011-07-25","17:57:21","0","40.80","27.75","16.00","5.0","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","13","16","35","1","1.3","0.5","40.76","0.02","27.85","0.03","20.000","1.900","FREE","1.3","D-S201107251757A","24","-0.430","0.110","0.670","0.080","-0.240","0.070","-0.170","0.080","-0.330","0.100","-0.520","0.040","0.910","1","204","-0.080","47","113","-0.830","43","295","0.870","331","60","-33","78","62","-146","5.2","D","A"
"S201107270958A","2011-07-27","09:58:14","0","38.33","31.88","18.00","4.8","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","24","35","35","1","3.1","0.4","38.18","0.03","31.88","0.02","19.900","0.900","FREE","1.1","D-S201107270958A","23","-2.090","0.200","0.330","0.120","1.770","0.110","0.630","0.170","0.400","0.130","-1.120","0.070","2.380","1","242","-0.020","20","332","-2.360","70","150","2.370","313","48","-117","170","49","-63","4.9","D","A"
"S201108071435A","2011-08-07","14:35:35","0","38.40","21.83","5.00","4.7","0.0","GREECE-------------------","ING","0","0","0","0","0","0","29","51","35","1","2.6","0.3","38.36","0.02","21.80","0.03","14.900","1.000","FREE","1.1","D-S201108071435A","23","-1.970","0.160","2.210","0.110","-0.240","0.080","-1.210","0.160","-0.010","0.140","0.600","0.050","2.650","14","168","-0.350","7","260","-2.310","74","15","2.480","248","31","-104","84","60","-82","4.9","D","A"
"C201108140105A","2011-08-14","01:05:00","0","37.27","22.02","10.00","4.8","0.0","SOUTHERN-GREECE----------","ING","0","0","0","1","1","40","37","71","35","1","0.1","0.2","37.07","0.02","22.04","0.01","10.000","0.000","FIX ","1.1","D-C201108140105A","23","-2.710","0.060","0.250","0.050","2.460","0.040","-1.580","0.230","-1.840","0.180","-1.030","0.040","3.150","14","78","0.910","26","175","-4.070","60","322","3.610","137","38","-134","8","64","-61","5.0","D","A"
"S201108151308A","2011-08-15","13:08:35","0","43.06","17.75","5.00","4.2","0.0","NORTHWESTERN-BALKAN-REGI-","ING","0","0","0","0","0","0","7","7","30","1","0.8","0.5","43.06","0.00","17.75","0.00","30.100","5.800","FREE","1.0","D-S201108151308A","22","-0.340","0.430","0.430","0.320","-0.090","0.320","0.980","0.280","-0.470","0.160","0.520","0.460","1.130","31","349","0.250","29","98","-1.370","45","222","1.250","27","30","-164","283","82","-61","4.0","D","A"
"S201108200200A","2011-08-20","02:00:24","0","37.92","21.71","7.00","4.9","0.0","SOUTHERN-GREECE----------","ING","0","0","0","0","0","0","25","54","35","1","4.4","0.3","37.88","0.02","21.70","0.02","34.100","1.100","FREE","1.2","D-S201108200200A","23","-0.310","0.320","4.500","0.200","-4.200","0.190","0.120","0.180","0.860","0.160","-1.760","0.150","4.840","0","191","-0.140","79","283","-4.710","11","101","4.780","237","82","-172","145","82","-8","5.1","D","A"
"S201109100222A","2011-09-10","02:22:16","0","36.87","26.58","9.00","4.5","0.0","DODECANESE-ISLANDS--GREE-","ING","0","0","0","0","0","0","10","11","35","1","3.0","0.0","36.87","0.00","26.58","0.00","22.700","2.500","FREE","1.0","D-S201109100222A","22","-5.400","1.610","2.440","0.830","2.970","1.150","4.890","0.900","3.320","0.870","1.280","1.070","6.770","26","318","1.540","5","50","-8.300","64","150","7.530","37","20","-104","232","71","-85","4.5","D","A"
"S201109100606A","2011-09-10","06:06:12","0","36.89","26.58","3.00","4.4","0.0","DODECANESE-ISLANDS--GREE-","ING","0","0","0","0","0","0","8","10","35","1","5.7","0.6","36.89","0.00","26.58","0.00","10.000","0.000","FIX ","1.0","D-S201109100606A","22","-0.880","0.210","1.870","0.180","-0.990","0.190","2.600","0.480","-1.080","0.550","1.210","0.170","3.490","29","352","-0.050","31","102","-3.440","45","229","3.470","31","33","-164","288","81","-58","4.3","D","A"
"S201109131619A","2011-09-13","16:19:27","0","34.24","23.73","10.00","5.0","0.0","CRETE--GREECE------------","ING","0","0","0","0","0","0","13","13","35","1","0.6","0.6","34.13","0.05","23.65","0.03","10.000","0.000","FIX ","1.3","D-S201109131619A","23","-2.240","0.180","-3.270","0.220","5.510","0.260","3.170","0.620","-4.760","1.290","1.710","0.180","7.780","25","91","-0.240","36","341","-7.540","43","207","7.660","229","38","-17","333","79","-127","5.2","D","A"
"S201109140335A","2011-09-14","03:35:28","0","37.20","22.05","1.00","4.9","0.0","SOUTHERN-GREECE----------","ING","0","0","0","0","0","0","17","27","40","1","1.3","0.2","37.20","0.00","22.05","0.00","10.000","0.000","FIX ","1.2","D-S201109140335A","23","-1.090","0.040","0.150","0.040","0.940","0.030","0.940","0.160","-0.760","0.090","-0.130","0.040","1.380","24","64","0.360","15","328","-1.740","61","208","1.560","182","25","-52","322","70","-106","4.7","D","A"
"S201109220322A","2011-09-22","03:22:36","0","39.79","38.84","5.00","5.5","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","22","46","40","1","3.8","0.5","39.77","0.02","38.69","0.03","16.700","0.800","FREE","1.9","D-S201109220322A","24","-0.220","0.100","-2.960","0.090","3.180","0.090","0.040","0.230","0.600","0.160","1.440","0.050","3.590","9","282","-0.310","81","114","-3.280","2","13","3.440","58","82","5","327","85","172","5.6","D","A"
"S201109251317A","2011-09-25","13:17:10","0","42.53","18.57","2.00","4.4","0.0","NORTHWESTERN-BALKAN-REGI-","ING","0","0","0","0","0","0","9","9","35","1","2.2","0.4","42.52","0.05","18.68","0.09","18.200","1.200","FREE","1.0","D-S201109251317A","22","2.760","0.310","-1.610","0.200","-1.160","0.230","-0.450","0.490","-0.370","0.480","1.140","0.180","2.870","79","136","-0.330","10","309","-2.550","1","39","2.710","140","45","105","299","47","76","4.2","D","A"
"S201109271208A","2011-09-27","12:08:19","0","34.22","23.67","10.00","5.3","0.0","CRETE--GREECE------------","ING","0","0","0","0","0","0","22","36","40","1","-0.3","0.8","34.04","0.04","23.64","0.02","21.300","1.500","FREE","1.7","D-S201109271208A","24","-0.510","0.090","-1.120","0.050","1.630","0.070","0.700","0.100","-0.270","0.090","0.340","0.060","1.690","5","96","-0.050","56","358","-1.640","33","189","1.660","227","63","-21","327","71","-152","5.4","D","A"
"S201109271306A","2011-09-27","13:06:34","0","34.10","23.80","20.00","4.4","0.0","CRETE--GREECE------------","ING","0","0","0","0","0","0","8","8","35","1","3.9","1.6","34.29","0.13","23.82","0.05","16.900","6.500","FREE","0.4","D-S201109271306A","22","-0.570","0.510","-2.900","0.780","3.470","1.110","1.020","1.170","-1.910","1.430","0.880","0.460","4.260","21","94","-0.630","56","330","-3.630","26","194","3.940","233","56","-4","325","87","-146","4.3","D","A"
"S201110040240A","2011-10-04","02:40:46","0","45.58","26.53","150.00","4.8","0.0","ROMANIA------------------","ING","0","0","0","0","0","0","18","19","35","1","5.3","0.5","45.50","0.04","26.58","0.05","136.600","5.400","FREE","1.1","D-S201110040240A","23","1.260","0.060","0.100","0.090","-1.360","0.090","-0.190","0.080","-0.080","0.070","-0.390","0.090","1.290","81","178","0.170","9","15","-1.460","3","284","1.380","5","43","77","203","48","102","4.7","D","A"
"S201110040926A","2011-10-04","09:26:29","0","39.20","21.62","5.00","4.5","0.0","GREECE-------------------","ING","0","0","0","0","0","0","4","4","35","1","0.9","0.9","39.20","0.00","21.62","0.00","10.000","0.000","FIX ","1.0","D-S201110040926A","22","-0.520","0.250","0.500","0.490","0.030","0.380","-3.850","0.570","2.810","0.540","-0.550","0.200","4.990","41","216","-0.340","1","306","-4.650","49","37","4.820","297","4","-99","126","86","-89","4.4","D","A"
"S201110092123A","2011-10-09","21:23:00","0","35.74","22.03","30.00","4.7","0.0","CENTRAL-MEDITERRANEAN-SE-","ING","0","0","0","0","0","0","4","4","30","1","-2.2","1.2","35.74","0.00","22.03","0.00","30.000","0.000","FIX ","1.1","D-S201110092123A","22","-1.340","0.870","1.080","0.930","0.260","0.610","1.580","0.310","-0.760","0.350","2.600","0.600","3.420","9","322","-0.100","48","63","-3.320","40","224","3.370","12","55","-156","267","70","-37","4.3","D","A"
"S201110101907A","2011-10-10","19:07:00","0","37.19","22.02","1.00","4.8","0.0","SOUTHERN-GREECE----------","ING","0","0","0","0","0","0","26","41","35","1","1.6","0.2","37.04","0.03","22.03","0.02","10.000","0.000","FIX ","1.1","D-S201110101907A","23","-2.130","0.060","0.240","0.060","1.890","0.050","-0.720","0.310","-0.680","0.230","-0.260","0.050","2.010","9","85","0.440","16","178","-2.450","72","329","2.230","157","39","-116","9","56","-70","4.8","D","A"
"S201110122051A","2011-10-12","20:51:33","0","35.36","30.21","40.00","4.5","0.0","EASTERN-MEDITERRANEAN-SE-","ING","0","0","0","0","0","0","14","21","35","1","1.7","0.5","35.36","0.00","30.21","0.00","29.500","1.100","FREE","1.0","D-S201110122051A","22","2.980","0.550","-0.940","0.410","-2.040","0.380","0.280","0.340","2.610","0.290","-3.280","0.330","4.350","58","242","1.050","28","29","-5.400","15","127","4.880","250","39","138","15","66","59","4.4","D","A"
"S201110200611A","2011-10-20","06:11:00","0","44.53","9.41","10.00","4.0","0.0","NORTHERN-ITALY-----------","ING","0","0","0","0","0","0","9","9","35","1","-1.3","0.7","44.53","0.00","9.41","0.00","10.000","0.000","FIX ","1.0","D-S201110200611A","22","1.970","0.340","-2.090","0.210","0.120","0.420","0.890","0.550","-0.960","0.860","1.430","0.300","2.390","69","78","0.690","15","302","-3.090","14","208","2.740","278","34","62","131","60","108","4.2","D","A"
"C201110232045A","2011-10-23","20:45:37","4","38.64","43.22","10.00","6.0","0.0","TURKEY-------------------","ING","0","0","0","1","1","40","26","59","40","1","5.4","0.3","38.64","0.01","42.98","0.02","12.600","0.500","FREE","2.2","D-C201110232045A","25","1.210","0.040","-1.130","0.030","-0.090","0.020","-0.170","0.030","-0.090","0.030","0.450","0.010","1.240","82","132","0.060","7","290","-1.300","3","20","1.270","118","42","101","283","48","80","6.0","D","A"
"C201110241528A","2011-10-24","15:28:00","3","38.80","43.39","15.00","5.0","0.0","TURKEY-------------------","ING","0","0","0","1","1","40","19","22","40","1","6.8","0.7","38.79","0.03","43.13","0.04","17.000","0.900","FREE","1.3","D-C201110241528A","23","5.080","0.360","-5.030","0.280","-0.050","0.140","-1.390","0.430","0.410","0.360","-0.290","0.140","5.300","81","211","-0.070","5","88","-5.230","8","357","5.270","81","38","82","272","53","96","5.1","D","A"
"C201110251455A","2011-10-25","14:55:00","9","38.86","43.70","10.00","5.5","0.0","TURKEY-------------------","ING","0","0","0","2","2","40","26","47","35","1","2.4","0.4","38.77","0.01","43.71","0.03","10.500","1.100","FREE","1.5","D-C201110251455A","24","2.380","0.190","-3.680","0.150","1.300","0.090","-1.060","0.350","1.240","0.370","-1.270","0.070","3.540","53","249","0.530","36","83","-4.080","7","348","3.810","45","50","39","287","61","132","5.7","D","A"
"S201110290413A","2011-10-29","04:13:34","0","45.71","10.92","15.00","4.2","0.0","NORTHERN-ITALY-----------","ING","0","0","0","0","0","0","8","15","30","1","2.5","0.6","45.71","0.00","10.92","0.00","16.200","1.700","FREE","1.0","D-S201110290413A","22","1.400","0.270","-1.520","0.160","0.120","0.190","-0.140","0.250","-0.710","0.340","-0.330","0.100","1.720","66","90","-0.110","23","254","-1.610","6","347","1.670","101","44","125","237","55","61","4.1","D","A"
"S201111062056A","2011-11-06","20:56:50","0","35.79","25.65","13.00","4.7","0.0","CRETE--GREECE------------","ING","0","0","0","0","0","0","19","32","35","1","-0.9","0.5","35.66","0.03","25.70","0.02","15.200","1.400","FREE","0.5","D-S201111062056A","23","-0.880","0.110","-0.240","0.050","1.120","0.080","0.170","0.120","-0.880","0.150","0.210","0.040","1.460","20","95","-0.200","14","360","-1.260","65","238","1.360","208","28","-59","354","67","-105","4.7","D","A"
"S201111082205A","2011-11-08","22:05:50","4","38.74","43.17","5.00","5.5","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","20","32","35","1","4.1","0.7","38.69","0.03","43.13","0.04","19.800","0.800","FREE","1.9","D-S201111082205A","24","1.510","0.100","-1.460","0.060","-0.050","0.050","0.170","0.050","0.030","0.060","0.390","0.020","1.520","86","331","0.050","3","104","-1.570","3","194","1.550","287","42","94","102","48","86","5.4","D","A"
"S201111091923A","2011-11-09","19:23:35","5","38.45","43.26","6.00","5.7","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","10","26","50","1","5.6","1.4","38.51","0.07","43.15","0.07","17.100","2.400","FREE","2.3","D-S201111091923A","24","-2.210","0.380","1.460","0.340","0.750","0.180","-2.110","0.970","-0.280","0.800","-4.670","0.240","6.020","10","221","-1.290","53","118","-4.730","35","318","5.370","354","58","-20","94","73","-147","5.8","D","A"
"S201111101725A","2011-11-10","17:25:39","0","38.42","21.82","5.00","4.6","0.0","GREECE-------------------","ING","0","0","0","0","0","0","12","20","35","1","5.1","0.6","38.37","0.04","21.69","0.04","18.500","1.400","FREE","1.0","D-S201111101725A","23","-0.890","0.120","1.130","0.080","-0.240","0.060","-0.750","0.120","0.230","0.130","0.160","0.040","1.380","18","177","-0.170","16","272","-1.220","66","41","1.300","244","30","-122","100","65","-73","4.7","D","A"
"S201111121828A","2011-11-12","18:28:10","0","37.17","22.00","5.00","4.6","0.0","SOUTHERN-GREECE----------","ING","0","0","0","0","0","0","11","13","35","1","-1.3","0.4","37.17","0.00","22.00","0.00","10.000","0.000","FIX ","1.0","D-S201111121828A","22","-3.880","0.230","1.080","0.280","2.810","0.230","1.680","0.730","-2.510","0.530","0.020","0.210","3.760","20","77","1.390","10","343","-5.130","67","229","4.440","184","26","-68","339","66","-101","4.4","D","A"
"S201111142208A","2011-11-14","22:08:15","8","38.72","43.22","10.00","5.2","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","18","25","40","1","3.3","0.6","38.65","0.03","43.13","0.03","18.900","0.500","FREE","1.5","D-S201111142208A","24","0.970","0.040","-0.790","0.030","-0.180","0.020","0.050","0.040","0.060","0.030","0.320","0.010","0.980","86","301","-0.050","4","113","-0.930","1","203","0.950","298","45","96","109","46","84","5.3","D","A"
"S201111150459A","2011-11-15","04:59:00","0","38.26","14.67","15.00","4.0","0.0","SICILY--ITALY------------","ING","0","0","0","0","0","0","12","12","35","1","4.6","1.1","38.32","0.05","14.62","0.04","14.500","6.800","FREE","1.0","D-S201111150459A","22","-0.270","0.230","-0.390","0.160","0.660","0.300","-1.010","0.550","0.060","0.340","-1.920","0.500","2.310","15","230","-0.130","62","109","-2.180","23","326","2.240","7","63","-6","99","85","-152","4.2","D","A"
"S201111181739A","2011-11-18","17:39:40","7","38.85","43.87","2.00","5.0","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","22","30","40","1","2.6","1.9","38.69","0.05","43.73","0.09","11.800","2.000","FREE","1.3","D-S201111181739A","23","-0.050","0.170","-2.480","0.190","2.530","0.140","0.920","0.440","2.370","0.540","-1.700","0.120","4.100","28","260","-0.310","50","28","-3.780","26","155","3.940","297","50","179","27","89","40","5.0","D","A"
"C201111231217A","2011-11-23","12:17:50","0","34.10","25.08","10.00","5.5","0.0","CRETE--GREECE------------","ING","0","0","0","2","2","40","21","35","35","1","2.0","0.3","34.09","0.02","25.09","0.02","17.000","0.800","FREE","1.4","D-C201111231217A","24","-1.950","0.140","0.680","0.080","1.270","0.100","-0.690","0.190","-1.040","0.210","1.170","0.060","2.520","16","127","-0.230","2","37","-2.300","74","298","2.410","221","30","-85","35","61","-93","5.5","D","A"
"S201111231350A","2011-11-23","13:50:00","0","34.22","25.02","15.00","4.6","0.0","CRETE--GREECE------------","ING","0","0","0","0","0","0","16","22","35","1","-0.1","0.6","34.29","0.04","25.23","0.03","15.800","2.600","FREE","1.0","D-S201111231350A","23","-1.130","0.210","0.090","0.110","1.040","0.140","0.290","0.330","-0.550","0.490","0.830","0.090","1.560","7","118","-0.130","26","25","-1.430","63","223","1.490","235","44","-51","6","57","-121","4.7","D","A"
"S201111300047A","2011-11-30","00:47:24","5","38.42","43.51","10.00","5.0","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","8","9","35","1","2.1","0.9","38.42","0.00","43.51","0.00","10.200","7.800","FREE","1.1","D-S201111300047A","24","0.660","0.280","-1.080","0.250","0.420","0.110","0.490","0.670","-0.170","0.350","-0.430","0.070","0.950","54","59","0.340","33","266","-1.290","13","167","1.120","222","43","37","103","65","127","5.3","D","A"
"C201112050817A","2011-12-05","08:17:29","0","38.83","26.31","15.00","4.9","0.0","AEGEAN-SEA---------------","ING","0","0","0","1","1","40","24","36","35","1","0.9","0.2","38.83","0.01","26.51","0.02","11.200","1.500","FREE","1.2","D-C201112050817A","23","-1.080","0.120","1.600","0.090","-0.510","0.050","0.070","0.130","-0.520","0.140","-0.300","0.040","1.650","3","9","-0.250","31","100","-1.390","59","274","1.520","70","50","-132","305","55","-51","4.7","D","A"
"S201112121704A","2011-12-12","17:04:43","0","43.29","19.28","10.00","4.5","0.0","NORTHWESTERN-BALKAN-REGI-","ING","0","0","0","0","0","0","20","34","35","1","4.0","0.3","43.32","0.02","19.19","0.02","24.900","1.800","FREE","1.0","D-S201112121704A","23","0.060","0.120","-0.530","0.070","0.470","0.070","-0.150","0.050","0.090","0.050","0.910","0.050","1.010","0","121","0.090","81","212","-1.100","9","31","1.050","166","84","-174","75","84","-6","4.6","D","A"
"S201112181501A","2011-12-18","15:01:00","0","36.02","12.98","10.00","4.7","0.0","CENTRAL-MEDITERRANEAN-SE-","ING","0","0","0","0","0","0","27","41","35","1","3.4","0.6","36.10","0.02","12.79","0.03","10.000","0.000","FIX ","1.1","D-S201112181501A","23","-0.300","0.040","0.120","0.040","0.170","0.040","0.040","0.150","0.570","0.120","-1.210","0.030","1.440","13","228","-0.180","62","342","-1.260","25","132","1.350","272","63","-171","178","82","-27","4.7","D","A"
"S201112270559A","2011-12-27","05:59:19","0","37.98","27.21","10.00","4.5","0.0","TURKEY-------------------","ING","0","0","0","0","0","0","16","19","30","1","1.1","0.8","37.96","0.03","27.38","0.08","12.600","2.400","FREE","1.0","D-S201112270559A","22","-3.080","0.560","3.380","0.400","-0.300","0.280","1.050","0.520","-1.760","0.680","-0.250","0.190","3.620","11","9","0.410","23","103","-4.030","64","255","3.830","72","39","-128","297","60","-63","4.3","D","A"
"S201201072231A","2012-01-07","22:31:31","0","35.74","27.30","30.00","4.6","0.0","DODECANESE-ISLANDS-GREE-","ING","0","0","0","0","0","0","8","9","30","1","-0.6","0.7","35.74","0.00","27.30","0.00","30.000","0.000","FIX ","1.0","D-S201201072231A","22","-3.890","0.660","-0.500","0.560","4.390","0.360","-0.780","0.430","-0.220","0.250","-1.230","0.500","4.680","0","77","-0.590","14","167","-4.090","76","346","4.390","153","46","-109","0","47","-71","4.4","D","A"
"S201201242354A","2012-01-24","23:54:46","0","45.54","10.97","15.00","4.2","0.0","NORTHERN-ITALY---------- ","ING","0","0","0","0","0","0","19","21","30","1","2.7","0.3","45.53","0.02","11.02","0.03","12.500","3.000","FREE","1.0","D-S201201242354A","22","0.040","0.150","-0.740","0.200","0.690","0.130","-0.610","0.260","-0.620","0.260","-1.310","0.100","1.510","10","62","0.370","64","174","-1.880","24","328","1.690","107","66","-170","13","81","-24","4.1","D","A"
"S201201250806A","2012-01-25","08:06:37","0","44.85","10.54","33.00","4.9","0.0","NORTHERN-ITALY---------- ","ING","0","0","0","0","0","0","14","30","30","1","3.7","0.2","44.86","0.02","10.49","0.03","30.000","2.100","FREE","1.2","D-S201201250806A","23","-1.130","0.290","2.440","0.180","-1.310","0.200","-2.040","0.210","-0.280","0.180","-1.790","0.120","3.830","20","198","-0.950","44","87","-2.880","39","306","3.350","335","46","-16","76","79","-135","5.0","D","A"
"C201201260424A","2012-01-26","04:24:59","0","36.07","25.07","14.00","5.3","0.0","DODECANESE-ISLANDS-GREE-","ING","0","0","0","5","6","25","18","43","35","1","1.5","0.5","35.95","0.03","24.97","0.02","10.800","1.700","FREE","1.7","D-C201201260424A","23","-2.250","0.420","0.740","0.270","1.510","0.280","-2.150","0.810","5.020","1.180","5.430","0.300","7.230","17","306","1.280","45","198","-8.520","40","50","7.880","80","49","-19","183","75","-137","5.2","D","A"
"C201201270133A","2012-01-27","01:33:23","0","36.04","25.06","5.00","5.4","0.0","DODECANESE-ISLANDS-GREE-","ING","0","0","0","6","6","40","23","51","35","1","2.9","0.4","35.91","0.02","24.93","0.02","14.800","1.000","FREE","1.1","D-C201201270133A","24","-0.600","0.050","0.280","0.030","0.320","0.030","-0.420","0.070","1.080","0.100","0.910","0.030","1.370","19","304","0.330","39","199","-1.700","46","54","1.530","77","43","-24","185","74","-131","5.4","D","A"
